"Название курса";"Количество файлов";"Заполненность (%)"
"Моделирование технологических процессов и оборудования химических технологий";0;0%
"Верификация и аттестация программного обеспечения";0;0%
Археолого-этнографическая;0;0%
"Скульптура и макетирование";0;0%
"Курсовая работа по учебной дисциплине ""Нормирование точности изделий аддитивного";0;0%
"Защита интеллектуальной собственности и патентоведение";0;0%
"Сооружение объектов трубопроводного транспорта";0;0%
Геоматика;0;0%
Психология;0;0%
"Очистка вентвыбросов и ресурсосбережение";0;0%
"Объектно-ориентированные технологии программирования и стандарты проектирования";0;0%
"Третий иностранный язык";0;0%
"Теория перевода";0;0%
"Английский язык в профессиональной деятельности";0;0%
"Теория линейных дифференциальных систем";0;0%
"Неразрушающий контроль компонентов систем автоматизации и КИПиА";0;0%
"Численные методы в физике";0;0%
"Исследовательская работа по тематике диссертации";0;0%
"Исламское банковское дело";0;0%
"Основы дискретной математики";0;0%
"Общая методология социальных исследований";0;0%
Логистика;0;0%
Учетно-аналитическая;0;0%
"Национальная экономика Беларуси";0;0%
"Экономическая политика";0;0%
"Финансовое планирование и бюджетирование";0;0%
"Международное торговое право. Экологическая этика в предпринимательстве";0;0%
"Модуль ""Дисциплины специализации 1-24 01 02 01 Организация и деятельность госуда";0;0%
"Стратегический маркетинговый анализ";0;0%
"Язык деловой коммуникации / Основы аннотирования и реферирования текста";0;0%
"Курсовой проект по учебной дисциплине ""Водоснабжение и водоотведение промышленны";0;0%
"Таможенные платежи";0;0%
"Информационные технологии в образовании";0;0%
"Информационные технологии в физической культуре и спорте";0;0%
"Электронные системы управления автомобилем";0;0%
"Курсовой проект по учебной дисциплине ""Теория механизмов и машин""";0;0%
"Тренинг управления эмоциями";0;0%
"Современные технологии контроля за тренировочной и соревновательной деятельность";0;0%
"Современные методы проектирования машин";0;0%
"Инженерная геология";0;0%
"Прикладные аспекты переработки нефти и газа";0;0%
"Введение в разработку программного обеспечения";0;0%
"Антропология детства";0;0%
"Курсовая работа по учебной дисциплине ""Архитектурные конструкции""";0;0%
"Методы оптимизации технологических процессов";0;0%
"Современные методы мониторинга и диагностики в строительстве";0;0%
"Инновационные технологии электробезопасности технологических процессов";0;0%
Топография;0;0%
"История новейшего времени";0;0%
"Курсовая работа по учебной дисциплине ""Водоснабжение и водоотведение""";0;0%
"Тестирование программного обеспечения";0;0%
"Программирование на платформе .NET";0;0%
"Социальная и территориальная мобильность населения Беларуси";0;0%
"Проектирование баз знаний";0;0%
"Страноведение / Культура страны изучаемого языка";0;0%
"Современный разговорный язык (на базе второго иностранного языка)";0;0%
"Функциональные последовательности и ряды, несобственный интеграл";0;0%
"Методика преподавания технического труда (частные вопросы)";0;0%
"Электроника и информационно-измерительная техника";0;0%
Газоснабжение;0;0%
"Системный анализ / Моделирование";0;0%
"Надежность мобильных систем";0;0%
"Естественнонаучные методы в археологии";0;0%
"Курсовой проект по учебной дисциплине ""Программирование на языках высокого уровн";0;0%
История;0;0%
"Модели данных и системы управления базами данных";0;0%
"Техническое творчество учащихся (творческий уровень)";0;0%
"Курсовой проект по учебной дисциплине ""Электрическое освещение""";0;0%
"Дифференциальные и интегральные уравнения";0;0%
"Курсовая работа по учебной дисциплине ""Основы средств автоматизированного проект";0;0%
"Операционный менеджмент";0;0%
"Тайм-менеджмент / Конфликт-менеджмент и основы медиации";0;0%
"Курсовой проект по учебной дисциплине ""Веб-графика""";0;0%
"Генезис и современные теории и концепции бухгалтерского учета";0;0%
"Гражданский процесс";0;0%
"Хозяйственный риск";0;0%
"Современный разговорный иностранный язык";0;0%
"Профессиональная этика таможенника";0;0%
"Педагогический эксперимент в современных социокультурных условиях";0;0%
"Социально-педагогическая и психологическая";0;0%
"Детали машин";0;0%
"Курсовой проект по учебной дисциплине ""Конструирование и расчет изделий""";0;0%
"Педагогическая этика. Профессиональное развитие личности педагога";0;0%
"Государственный экзамен по профилизации";0;0%
"Тяговый электропривод";0;0%
"Формирование доступности архитектурной среды";0;0%
"Углеродные материалы. Производство и применение";0;0%
"Современные технологии разработки web-приложений";0;0%
"Коррекционная дошкольная педагогика";0;0%
Производственно-технологическая;0;0%
"Теория резания";0;0%
"Современные материалы и организационно-технологические решения в строительстве";0;0%
"Проектирование и эксплуатация систем газоснабжения";0;0%
"Этика деловой (профессиональной) коммуникации";0;0%
"История средних веков государств Азии и Африки";0;0%
"Раздел ""Проектирование комплексных объектов""";0;0%
"Сметное нормирование и ценообразование в строительстве";0;0%
"Арифметические и логические основы цифровых устройств";0;0%
"Компьютерная графика. Прикладные пакеты векторной графики";0;0%
"Основы информационных технологий";0;0%
"Сооружения для использования поверхностных вод";0;0%
"Методы и алгоритмы принятия решений";0;0%
Лексикология;0;0%
"Культура страны изучаемого языка / Экономика страны изучаемого языка";0;0%
"Математические модели в информационных технологиях";0;0%
"Технологии и безопасность интернета вещей";0;0%
"Теплоэнергетические процессы и установки";0;0%
"Термодинамика и статистическая физика";0;0%
"Лабораторный спецпрактикум ""Автоматизация технологических процессов""";0;0%
"Курсовая работа по учебной дисциплине ""Бухгалтерский финансовый учет в промышлен";0;0%
"Устройства оптической обработки сигналов";0;0%
"Потребительское поведение";0;0%
PR-менеджмент;0;0%
"Профессионально-ориентированный иностранный язык";0;0%
"Контроллинг / Бухгалтерский управленческий учет";0;0%
"Управление финансами в организации";0;0%
"Социальная отвественность бизнеса";0;0%
"Сравнительное уголовно-процессуальное право";0;0%
"Основы оперативно-розыскной деятельности";0;0%
"Курсовой проект по учебной дисциплине «Распределенные системы обработки информац";0;0%
"Культурный аспект профессионального общения (на иностранном языке)";0;0%
"Тренинг личностного роста";0;0%
"Курсовой проект по учебной дисциплине ""Насосы и воздуходувные станции""";0;0%
"Анализ хозяйственной деятельности субъектов внешнеэкономической деятельности";0;0%
"Теория и методика музыкального воспитания детей дошкольного возраста";0;0%
"Педагогическая в оздоровительных лагерях";0;0%
"Проектирование предприятий автосервиса";0;0%
"Компьютерные технологии (видеомонтаж и видеоанимация)";0;0%
"Автоматика, автоматизация и автоматические системы управления технологическими п";0;0%
"Психология управления";0;0%
"Белорусский язык (культура речи)";0;0%
"Интеллектуальные системы";0;0%
"Механизация и автоматизация в строительстве";0;0%
"Подъёмно-транспортные машины";0;0%
"Современные технологии серверной разработки";0;0%
"Курсовой проект по разделу ""Архитектурно-ландшафтное проектирование""";0;0%
"Высокоскоростная обработка материалов на станках с ЧПУ";0;0%
"Прединвестиционный и проектный инжиниринг";0;0%
"Машины и оборудование газонефтепроводов";0;0%
"Обработка данных дистанционного зондирования";0;0%
"История исторической науки в Беларуси";0;0%
"Язык средств массовой коммуникации";0;0%
"Практикум по криминалистике / Судебные экспертизы";0;0%
"Социальное предпринимательство";0;0%
"История литературы страны изучаемого языка второй половины XX - начала XXI веков";0;0%
"Психология и психотерапия семьи";0;0%
"Теория и практика надежности, безопасности и долговечности";0;0%
"Спортивное право";0;0%
"Педагогическая (в группах раннего возраста)";0;0%
"Основы управления интеллектуальной собственностью / Правовые основы физической к";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование эксплуатационных и ремонтн";0;0%
"Стилеобразование в ППС";0;0%
"Теоретические основы химии";0;0%
"Медицинская и специальная психология";0;0%
"Курсовая работа по учебной дисциплине ""Теоретические основы дизайн-проектировани";0;0%
"Современные тенденции развития оборудования для изготовления машин";0;0%
"Курсовой проект по учебной дисциплине ""Металлические конструкции""";0;0%
"Производство мономеров и исходных веществ для полимерных материалов";0;0%
"Микросервисные архитектуры";0;0%
"История Древнего мира";0;0%
"Типология зданий и сооружений";0;0%
"Деловой иностранный язык";0;0%
"Исследовательский семинар ""Экспериментальный раздел магистерской диссертации""";0;0%
"Учет энергоносителей";0;0%
"История геодезии и картографии";0;0%
"Топонимика / Историческая картография";0;0%
"Делопроизводство при проектировании, строительстве и эксплуатации систем ТГВ";0;0%
"Курсовой проект по учебной дисциплине ""Объектно-ориентированное проектирование и";0;0%
"Конструирование программного обеспечения";0;0%
"Античная литература";0;0%
"Практикум по аудированию (на базе второго иностранного языка)";0;0%
"Теория информации и кодирования";0;0%
"Аналитическая геометрия и линейная алгебра";0;0%
"Курсовой проект по учебной дисциплине ""Проектирование программно-управляемых эле";0;0%
"Программно-аппаратные интерфейсы информационных систем";0;0%
"Электромагнитные поля и волны";0;0%
"Курсовая работа по учебной дисциплине ""Экономический анализ деятельности организ";0;0%
"Микропроцессорная техника / Программно-управляемые микроконтроллерные устройства";0;0%
"История социальных коммуникаций";0;0%
"Стратегический менеджмент / Рекламный менеджмент";0;0%
"Таможенная логистика";0;0%
"Современная прикладная этика / Психология делового общения";0;0%
"Модуль ""Аналитическая экономика и экономическая политика"" / Модуль ""Анализ рынко";0;0%
"Современные проблемы бухгалтерского учета, анализа и аудита";0;0%
"Общая теория права / Педагогика и психология высшего образования";0;0%
"Государственная служба";0;0%
"Прикладной статистический анализ";0;0%
Преддипломная;0;0%
"Курсовая работа по учебной дисциплине ""Санитарно-техническое оборудование зданий";0;0%
"Устройство транспортных средств";0;0%
"Зарубежная детская литература";0;0%
Биохимия;0;0%
"Курсовой проект по учебной дисциплине ""Автомобильные двигатели""";0;0%
"Курсовая работа по учебной дисциплине ""Основы конструирования деталей машин""";0;0%
"Психологический тренинг личностного роста";0;0%
"Нетрадиционные методики физической культуры и спорта для лиц различных возрастны";0;0%
"Курсовая работа по учебной дисциплине ""Средства технологического оснащения орган";0;0%
"Рисунок и живопись";0;0%
"Поверхностные явления и дисперсные системы";0;0%
"Криптография и охрана коммерческой информации";0;0%
"Педагогические основы воспитания и обучения детей дошкольного возраста";0;0%
"Архитектурное материаловедение";0;0%
"Основы технологии машиностроения";0;0%
"Инновационные строительные материалы и технологии";0;0%
"Технологии аналитики больших данных";0;0%
"Геоморфология и геология";0;0%
"Курсовая работа 2 по одной из учебных дисциплин модулей 1.3, 1.4, 1.5, 1.6";0;0%
Шрифт;0;0%
"Архитектура и строительные конструкции";0;0%
"Теория вероятностей и математическая статистика";0;0%
"Программное обеспечение мобильных систем";0;0%
"Этнические группы Беларуси: история, культура, социально-правовое положение";0;0%
"Аппаратное обеспечение интеллектуальных систем";0;0%
"История литературы страны изучаемого языка XX - XXI веков";0;0%
"Модуль ""Веб-технологии""";0;0%
"Основы и методологии программирования";0;0%
"Технология обработки древесины (механическая обработка)";0;0%
"Курсовой проект по учебной дисциплине ""Электическое освещение""";0;0%
"Финансовая математика";0;0%
"Методы обработки сигналов в условиях многолучевости";0;0%
"Бухгалтерское дело";0;0%
"Системы промышленной электроники";0;0%
"Основы трудового права";0;0%
"Курсовая работа по учебной дисциплине «Мировая экономика»";0;0%
"Системный анализ и оценка факторов экономической безопасности";0;0%
"Международные финансы";0;0%
"Курсовая работа 1";0;0%
"Экономика и управление ресурсосбережением / Экологический менеджмент";0;0%
"Математическое моделирование";0;0%
"Курсовая работа по учебной дисциплине ""Методика преподавания технического труда""";0;0%
"Электротехнологические установки";0;0%
"Методы алгоритмизации и програмирование";0;0%
"Алгоритмы машинного обучения в инфокоммуникациях";0;0%
"Закупочная логистика";0;0%
"Физико-химические основы технологий производства электронных устройств";0;0%
"Социальная реклама";0;0%
"Теория отраслевых рынков";0;0%
"Моделирование и проектирование экономических систем";0;0%
"Право прав человека / Юридическая этика";0;0%
"Интегрированные маркетинговые коммуникации в бизнесе";0;0%
"Модуль ""Практический курс второго иностранного языка""";0;0%
"Иностранный язык второй (общее владение)";0;0%
"Адаптивная дидактика";0;0%
"Социально-педагогическое проектирование";0;0%
"Электротехника и электроника";0;0%
"Правовое обеспечение выпуска и обращения акций";0;0%
"Практикум по изобразительной и декоративно-прикладной деятельности";0;0%
"Спортивный менеджмент";0;0%
"Конструкция электрических и автономных транспортных средств";0;0%
"Инновационные исследования и решения актуальных научно-творческих работ в профес";0;0%
"Электротехника, автоматика и автоматизация химических производств";0;0%
"Эконометрика и экономико-математические методы и модели";0;0%
"Тренинг эффективного педагогического взаимодействия";0;0%
Эстетика;0;0%
"Курсовая работа по учебной дисциплине ""Информационные технологии""";0;0%
"Проектирование реконструкции зданий и сооружений";0;0%
"Моделирование систем транспортирования нефти и газа";0;0%
"Теория и практика защиты новых технических решений";0;0%
"Становление и развитие княжеской власти в Полоцкой земле";0;0%
"Универсальный дизайн объектов архитектуры";0;0%
"Организация производства и сбыта инновационной строительной продукции";0;0%
"Ремонт объектов трубопроводного транспорта";0;0%
"Фотограмметрическая обработка данных дистанционного зондирования Земли";0;0%
Логика;0;0%
"Курсовой проект по учебной дисциплине ""Организация, пданирование и управление пр";0;0%
"Функциональное программирование";0;0%
"Основы перевода / Анализ художественного перевода";0;0%
"Психология и этика делового общения / Технологии разрешения конфликтов";0;0%
"Анализ и проектирование бизнес-процессов";0;0%
"Курсовой проект по учебной дисциплине ""Технологии разработки программного обеспе";0;0%
Энергетическая;0;0%
"Курсовая работа по специализации (исследовательского характера)";0;0%
"Интеллектуальные датчики";0;0%
"Курсовая работа по учебной дисциплине ""Теория бухгалтерского учета""";0;0%
"Микроэлектроника и микросхемотехника";0;0%
Маркетинг;0;0%
"Электронный бизнес";0;0%
"Внешнеэкономическая деятельность";0;0%
Организационно-экономическая;0;0%
"Управленческая экономика";0;0%
"Стратегический финансовый менеджмент";0;0%
"Ораторское искусство юриста и судебная речь";0;0%
"Юридическая риторика";0;0%
"Ценовая политика";0;0%
"Курсовая работа выполняется по одной из дисциплн модулей 1.5, 1.7, 1.14, 2.7";0;0%
"Рациональное использование и охрана водных ресурсов";0;0%
"Отчетность субъектов внешнеэкономической деятельности";0;0%
"Основы педагогического исследования";0;0%
"Лыжный спорт и методика преподавания";0;0%
"Интеллектуальные системы управления автомобилем";0;0%
"Компьютерные технологии (Основы 3D-моделирования и визуализации)";0;0%
"Грузоподъемные устройства";0;0%
"Системный анализ данных в психологии";0;0%
"Макетирование интерьера";0;0%
"Современные материалы в автомобилестроении";0;0%
Геодезическая;0;0%
"Подъемно-транспортные машины";0;0%
"Разработка игровой концепции";0;0%
"Курсовой проект по разделу ""Проектирование жилых зданий""";0;0%
"Автоматизация производственных процессов в машиностроении";0;0%
"Испытание конструкций, зданий и сооружений";0;0%
"Основы конструирования машин";0;0%
"Методы создания государственной геодезической основы";0;0%
"Курсовая работа 3 по одной из учебных дисциплин модулей 1.3, 1.4, 1.5, 1.6";0;0%
"Автоматизированное проектирование систем ТГВ";0;0%
"Функциональное программирование / Программирование мобильных систем";0;0%
"Приложения для операционных систем";0;0%
Научно-педагогическая;0;0%
"Модели решения задач в интеллектуальных системах";0;0%
"Перевод для специальных целей / Теория и практика художественного перевода";0;0%
"Теория и методика формирования основ безопасной жизнедеятельности детей дошкольн";0;0%
"Летний учебный сбор";0;0%
"Ознакомительная (водительско-операторская)";0;0%
"Эргономика цифровой среды";0;0%
"Энергосбережение и энергетический менеджмент";0;0%
"Основы нейропсихологии";0;0%
Конструирование;0;0%
"Техническое перевооружение и реконструкция предприятий автомобильного транспорта";0;0%
"Охрана труда";0;0%
"Современные инструментальные методы исследования состава с структуры органически";0;0%
"Создание и обработка звука";0;0%
"Архитектурная физика";0;0%
"Механика материалов и конструкций";0;0%
"Теория и практика обеспечения надежности, безопасности и долговечности строитель";0;0%
"Системы газонефтеснабжения";0;0%
"Организация и управление производством";0;0%
"Быт белорусов Х - начала ХХ вв.";0;0%
Теплоснабжение;0;0%
"Оборудование компьютерных сетей";0;0%
"Разработка приложений на языках высокого уровня";0;0%
"Мифология романо-германских народов";0;0%
"Методы и технологии разработки и управления базами данных";0;0%
"Риторика / Основы рекламы";0;0%
"Компьютерная защита финансовой информации";0;0%
"Физические основы проектирования программно-управляемых электронных средств / Те";0;0%
Программирование;0;0%
"Курсовой проект по учебной дисциплине ""Программно-управляемые микроконтроллерные";0;0%
"Курсовая работа по одной из учебных дисциплин 2.9.1, 2.9.2, 2.9.3";0;0%
"Объектно-ориентированное программирование / Объектно-ориентированные языки прогр";0;0%
"Экономика энергетики";0;0%
"Управление запасами";0;0%
"Правовое обеспечение бизнеса";0;0%
"Количественные методы анализа в бизнесе";0;0%
"Экономический анализ природопользования и охраны окружающей среды";0;0%
"Модуль ""Прокурорско-следственный"" / Модуль ""Правовое обеспечение цифровой эконом";0;0%
"Курсовая работа 5";0;0%
"Информационные технологии в маркетинге";0;0%
"Типология первого иностранного и второго иностранного языков";0;0%
"Курсовой проект по учебной дисциплине ""Насосные и воздуходувные станции""";0;0%
"Административно-деликтный процесс";0;0%
"Теория и практика межкультурной коммуникации / Текстолингвистика";0;0%
"Психология цифрового поколения";0;0%
"Вторая технологическая";0;0%
"Курсовая работа по учебной дисциплине ""Организация производства и управление пре";0;0%
"Практикум по организации проектной деятельности";0;0%
"Средства оздоровительной физической культуры";0;0%
"Курсовая работа по учебной дисциплине ""Техническое обслуживание электрических и ";0;0%
"Научно-проектные исследования в архитектурной и архитектурно-дизайнерской деятел";0;0%
"Производство топлив / Производство нефтяных масел и присадок / Производство нефт";0;0%
"Распределенные информационные системы";0;0%
"Альтернативная коммуникация";0;0%
"История белорусской архитектуры";0;0%
"Вторая конструкторско-технологическая";0;0%
"Введение в инвестиционно-строительный инжиниринг";0;0%
"Технологическое оборудование и системы обеспечения надежности опасных производст";0;0%
"Бизнес-анализ в IT-проектах / Бизнес и менеджмент";0;0%
"Архивоведение и музееведение";0;0%
"Современные информационные технологии";0;0%
"Курсовой проект по выбранной учебной дисциплине";0;0%
"Кросс-платформенное программирование";0;0%
"Языки программирования";0;0%
"Беларусь в системе международных отношений";0;0%
"Сети водоотведения";0;0%
"Стандартизация программного обеспечения / Метрология, стандартизация и сертифика";0;0%
"Модуль ""Основной иностранный язык. Уровень 5""";0;0%
"Практическая грамматика II";0;0%
"Проектирование и прототипирование пользовательских интерфейсов / Технологии тонк";0;0%
"Технология обработки металлов (ручная и механизированная обработка)";0;0%
"Моделирование систем энергетики";0;0%
